,number,value,datetime_start,datetime_complete,duration,params_contrast_weight,params_dropout_rate,params_epochs_pre,params_latent_dim,params_lr_fine,params_lr_pre,params_noise_level,params_ortho_weight,params_temperature,state
0,0,0.29511314192439675,2026-01-21 20:38:44.432453,2026-01-21 20:39:07.463444,0 days 00:00:23.030991,4.170553216181044,0.16239780813448107,200,64,2.0513382630874486e-05,0.0015751320499779737,0.05871254182522992,0.15930522616241014,0.1185260448662222,COMPLETE
1,1,0.3282190009585294,2026-01-21 20:39:07.617250,2026-01-21 20:39:23.803792,0 days 00:00:16.186542,3.126143958203108,0.2216968971838151,100,32,2.3270677083837777e-05,0.0002310201887845295,0.1287134647448357,0.038234752246751866,0.22554447458683766,COMPLETE
2,2,0.571335636855506,2026-01-21 20:39:23.923822,2026-01-21 20:39:36.520036,0 days 00:00:12.596214,0.8333491643033208,0.3056937753654446,50,128,2.5081156860452307e-05,0.0037183641805732083,0.1388621853293064,0.16409286730647918,0.1585464336867516,COMPLETE
3,3,0.3264350386870079,2026-01-21 20:39:36.616805,2026-01-21 20:39:48.375415,0 days 00:00:11.758610,0.5542561258655851,0.3736932106048628,50,64,1.5679933916722995e-05,0.0004066563313514797,0.11602287406094021,0.09780337016659407,0.9183883618709039,COMPLETE
4,4,0.4767725732095962,2026-01-21 20:39:48.512694,2026-01-21 20:40:09.999271,0 days 00:00:21.486577,7.297384471483422,0.17394178221021084,200,64,0.00012399967836846095,0.001096821720752952,0.19543769416468382,0.7568292060167615,0.6381099809299766,COMPLETE
5,5,0.35313680991729307,2026-01-21 20:40:10.160866,2026-01-21 20:40:31.493724,0 days 00:00:21.332858,1.1600433752378407,0.25547091587579285,200,32,4.473636174621264e-05,0.00012315571723666037,0.0907023547660844,0.05170191786366993,0.5884264748424236,COMPLETE
6,6,0.5291202356477289,2026-01-21 20:40:31.658681,2026-01-21 20:40:51.986531,0 days 00:00:20.327850,4.440482849384359,0.17948627261366898,200,64,0.0003503398491158688,0.009413993046829943,0.050828317568540365,0.25924756604751586,0.7941433120173511,COMPLETE
7,7,0.5847252957864256,2026-01-21 20:40:52.135256,2026-01-21 20:41:07.676723,0 days 00:00:15.541467,4.448458336296337,0.23235920994105969,100,64,0.00017643967683381525,0.005323617594751502,0.05953375254290355,0.044706085467784894,0.6738017242196918,COMPLETE
8,8,0.5251696969861736,2026-01-21 20:41:07.816950,2026-01-21 20:41:22.512679,0 days 00:00:14.695729,1.7997562632086157,0.3245108790277985,100,32,0.0003323304206226791,0.0026698666742744613,0.16564507699318415,0.11103647313054621,0.12287721406968567,COMPLETE
9,9,0.5977568818819806,2026-01-21 20:41:22.659218,2026-01-21 20:41:38.114208,0 days 00:00:15.454990,0.9923006608672535,0.4630265895704372,100,128,0.0001040258761588385,0.0004253162363790873,0.08739383437233125,0.3244160088734159,0.1692819188459137,COMPLETE
10,10,0.5850159217942787,2026-01-21 20:41:38.250013,2026-01-21 20:41:55.392796,0 days 00:00:17.142783,1.6201789630502839,0.4819800296863973,150,128,0.0008691089486124963,0.0005338943774556118,0.09319952190453595,0.010744583847151162,0.40131565860091256,COMPLETE
11,11,0.5786037371635642,2026-01-21 20:41:55.529761,2026-01-21 20:42:12.986218,0 days 00:00:17.456457,1.680997864411597,0.48857367699629217,150,128,0.0007791470666172773,0.0005413994609468709,0.09383576982529795,0.010966083475384848,0.39716061914574285,COMPLETE
12,12,0.47020789120377277,2026-01-21 20:42:13.146962,2026-01-21 20:42:31.732010,0 days 00:00:18.585048,1.030959241237075,0.4995006041670576,150,128,6.56869475914189e-05,0.0005959206131645767,0.09219065086511317,0.5358828537716194,0.37420155392992416,COMPLETE
13,13,0.5583014177805218,2026-01-21 20:42:31.873689,2026-01-21 20:42:50.862077,0 days 00:00:18.988388,0.5935696582871783,0.4199690201206847,150,128,0.000915143473011743,0.00023717300866001888,0.0786349581447564,0.37640381705205905,0.3743585785185152,COMPLETE
14,14,0.5730025729664986,2026-01-21 20:42:51.016396,2026-01-21 20:43:06.206718,0 days 00:00:15.190322,1.3324802579110893,0.4343053978061193,100,128,0.0003079932049347144,0.0009190147058861316,0.11201211495390694,0.013717643405649833,0.2558397106222611,COMPLETE
15,15,0.5987067143488874,2026-01-21 20:43:06.332333,2026-01-21 20:43:29.442344,0 days 00:00:23.110011,2.4267331436641406,0.1043956756975086,150,128,1.0392322778883457e-05,0.00024671852033213555,0.14718498983136483,0.021587839503833448,0.454244373577088,COMPLETE
16,16,0.5282046464001909,2026-01-21 20:43:29.586489,2026-01-21 20:43:45.520857,0 days 00:00:15.934368,2.6121316680767817,0.10187425278367149,50,128,1.0037327772752125e-05,0.00010832048546002145,0.14908988687426875,0.024320900606968857,0.5004285211225723,COMPLETE
17,17,0.5756602350055942,2026-01-21 20:43:45.665742,2026-01-21 20:44:01.161942,0 days 00:00:15.496200,9.616536720046746,0.34760716869934355,100,128,4.924910314110584e-05,0.00024850779919921757,0.16140634866728035,0.02128683392739559,0.4998234802594208,COMPLETE
18,18,0.5294038473937112,2026-01-21 20:44:01.307338,2026-01-21 20:44:19.832987,0 days 00:00:18.525649,0.7518298725994138,0.10181491102150053,150,128,9.112967463126859e-05,0.00017486937538667134,0.17286010643517513,0.9296605146627585,0.2746017678213889,COMPLETE
19,19,0.5673493255965752,2026-01-21 20:44:19.970907,2026-01-21 20:44:34.518847,0 days 00:00:14.547940,2.1624093397157096,0.40428873247347735,100,128,0.0001539240128860961,0.00037343605010020317,0.19292574325536863,0.0745081391373996,0.7194521448997341,COMPLETE
20,20,0.35997149664182004,2026-01-21 20:44:34.653886,2026-01-21 20:44:53.559710,0 days 00:00:18.905824,2.849904370545161,0.26612734078220374,150,32,3.163430417127125e-05,0.0009316608792734375,0.11062531313542438,0.2942944914818121,0.9944585065447374,COMPLETE
21,21,0.5897975619815621,2026-01-21 20:44:53.702745,2026-01-21 20:45:11.261051,0 days 00:00:17.558306,1.4552317008602806,0.4496606563368476,150,128,0.0005676076056081949,0.00036531236053328293,0.07808188354295267,0.01866943516174143,0.4498098869306534,COMPLETE
22,22,0.5746189762579302,2026-01-21 20:45:11.388519,2026-01-21 20:45:28.670996,0 days 00:00:17.282477,0.9205305368087566,0.44815037655521994,150,128,0.0005974859041866275,0.00033581682686837543,0.07351911617210262,0.018301849083173838,0.5030345296588392,COMPLETE
23,23,0.5853477631431984,2026-01-21 20:45:28.806387,2026-01-21 20:45:46.241219,0 days 00:00:17.434832,1.28853881411385,0.3807116601166355,150,128,0.00021685415759146328,0.00016724985287915108,0.0806069429366738,0.028843645513333894,0.31915901044107464,COMPLETE
24,24,0.5788782866308156,2026-01-21 20:45:46.383033,2026-01-21 20:46:01.737234,0 days 00:00:15.354201,2.1613288812717,0.4550596038682698,100,128,9.032832658580662e-05,0.000672933915108993,0.12658053244054537,0.06481072459519707,0.4670463486049218,COMPLETE
25,25,0.4376682624423786,2026-01-21 20:46:01.880421,2026-01-21 20:46:21.093480,0 days 00:00:19.213059,0.7185979380661126,0.39472925362347216,150,128,1.1975706288006917e-05,0.0003365485606108073,0.14899156664096586,0.032478412083302,0.19701630479733598,COMPLETE
26,26,0.5561567393658174,2026-01-21 20:46:21.233065,2026-01-21 20:46:42.241583,0 days 00:00:21.008518,1.4945729310470515,0.3538540721539244,200,128,0.00045682139493174713,0.0016834099808998057,0.10486399040182484,0.017907929613796843,0.5790455448210403,COMPLETE
27,27,0.5410963123321175,2026-01-21 20:46:42.381406,2026-01-21 20:46:57.845431,0 days 00:00:15.464025,3.568385495687677,0.14776398243289143,100,128,6.504954089789644e-05,0.00016660718442811008,0.06904004037846243,0.1742748508554913,0.31864245827696175,COMPLETE
28,28,0.5456272316580891,2026-01-21 20:46:57.985218,2026-01-21 20:47:09.776715,0 days 00:00:11.791497,5.762176169542377,0.46186129654825886,50,32,0.0002230590764337265,0.0002696657017208892,0.1419663220657773,0.014518942306307797,0.44418965771937613,COMPLETE
29,29,0.5282091609031965,2026-01-21 20:47:09.915399,2026-01-21 20:47:33.886255,0 days 00:00:23.970856,1.9559644503214846,0.13836666667232522,200,128,3.823561674057317e-05,0.0004504570425128087,0.06427032043229078,0.11275504320866439,0.7656463575862161,COMPLETE
